<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.22	01:00:00	4076.59	4085.04	4076.55	4080.40	6305	0	8
2026.07.22	02:00:00	4080.40	4083.03	4079.16	4080.56	5124	0	7
2026.07.22	03:00:00	4080.55	4102.36	4076.62	4097.42	22459	0	7
2026.07.22	04:00:00	4097.44	4123.70	4096.72	4122.10	32058	0	7
2026.07.22	05:00:00	4122.10	4130.87	4118.74	4130.36	23487	0	7
2026.07.22	06:00:00	4130.49	4141.62	4129.11	4130.84	18734	0	7
2026.07.22	07:00:00	4130.84	4131.19	4124.60	4126.98	13053	0	8
2026.07.22	08:00:00	4127.00	4133.95	4122.95	4130.98	19930	0	8
2026.07.22	09:00:00	4130.98	4135.26	4113.25	4116.32	22591	0	7
2026.07.22	10:00:00	4116.31	4123.08	4109.20	4110.56	22336	0	7
2026.07.22	11:00:00	4110.58	4120.16	4110.50	4118.31	23326	0	8
2026.07.22	12:00:00	4118.29	4122.32	4113.16	4115.00	19504	0	7
2026.07.22	13:00:00	4114.99	4121.74	4114.75	4117.46	17759	0	7
2026.07.22	14:00:00	4117.46	4123.00	4112.49	4122.58	18479	0	7
2026.07.22	15:00:00	4122.57	4134.34	4106.52	4112.81	26118	0	7
2026.07.22	16:00:00	4112.95	4155.81	4112.64	4154.43	34441	0	7
2026.07.22	17:00:00	4154.61	4163.42	4144.07	4148.45	40604	0	7
2026.07.22	18:00:00	4148.43	4166.00	4148.43	4159.37	29736	0	7
2026.07.22	19:00:00	4159.39	4159.48	4144.32	4146.79	21643	0	7
2026.07.22	20:00:00	4146.79	4147.80	4138.35	4142.37	21023	0	7
2026.07.22	21:00:00	4142.35	4142.73	4131.86	4136.02	21425	0	7
2026.07.22	22:00:00	4135.90	4137.17	4128.89	4131.84	17814	0	8
2026.07.23	01:00:00	4123.93	4129.82	4087.25	4121.65	13993	0	7
2026.07.23	02:00:00	4121.65	4134.32	4116.45	4133.35	14477	0	7
2026.07.23	03:00:00	4133.42	4134.68	4125.00	4132.14	20686	0	8
2026.07.23	04:00:00	4132.11	4141.03	4114.21	4117.85	34301	0	7
2026.07.23	05:00:00	4117.84	4128.62	4112.11	4128.05	26524	0	7
2026.07.23	06:00:00	4128.10	4133.03	4123.97	4124.74	19360	0	7
2026.07.23	07:00:00	4124.60	4130.49	4119.94	4121.21	16805	0	8
2026.07.23	08:00:00	4121.20	4130.51	4119.43	4124.05	22273	0	7
2026.07.23	09:00:00	4124.01	4128.17	4116.91	4118.51	25525	0	7
2026.07.23	10:00:00	4118.52	4119.40	4089.98	4095.38	30056	0	7
2026.07.23	11:00:00	4095.37	4097.73	4087.02	4093.41	23868	0	7
